array_id,scenario,design,sim_id,n_total_enrolled,n_possible_enrolled,estMTD,estMTDCode,trueMTD,RP2D,RP2DCode,RP2DAcceptable,bestP2D,estEff_at_estMTD,num_at_estMTD
145,5,3pl3:Bayes:DEC:Bayes,309,24,24,3,1Y,3,3,1Y,1,3,0.3,6
145,5,3pl3:Bayes:DEC:Bayes,310,18,18,4,1Y,3,4,1Y,0,3,0.3,6
145,5,3pl3:Bayes:DEC:Bayes,311,15,15,2,1Y,3,2,1Y,0,3,0.3,6
145,5,3pl3:Bayes:DEC:Bayes,312,21,21,4,1Y,3,4,1Y,0,3,0.3,6
145,5,3pl3:Bayes:DEC:Bayes,313,12,12,1,1Y,3,1,1Y,0,3,0.157142857142857,6
145,5,3pl3:Bayes:DEC:Bayes,314,15,15,2,1Y,3,0,1EN,0,3,0.0142857142857143,6
145,5,3pl3:Bayes:DEC:Bayes,315,21,21,4,1Y,3,4,1Y,0,3,0.157142857142857,6
145,5,3pl3:Bayes:DEC:Bayes,316,21,21,3,1Y,3,3,1Y,1,3,0.157142857142857,6
145,5,3pl3:Bayes:DEC:Bayes,317,12,12,2,1Y,3,0,1EN,0,3,0.0142857142857143,6
145,5,3pl3:Bayes:DEC:Bayes,318,15,15,3,1Y,3,3,1Y,1,3,0.157142857142857,6
145,5,3pl3:Bayes:DEC:Bayes,319,12,12,1,1Y,3,1,1Y,0,3,0.157142857142857,6
145,5,3pl3:Bayes:DEC:Bayes,320,18,18,3,1Y,3,3,1Y,1,3,0.3,6
145,5,3pl3:Bayes:DEC:Bayes,321,15,15,3,1Y,3,3,1Y,1,3,0.3,6
145,5,3pl3:Bayes:DEC:Bayes,322,15,15,3,1Y,3,3,1Y,1,3,0.157142857142857,6
145,5,3pl3:Bayes:DEC:Bayes,323,21,21,4,1Y,3,4,1Y,0,3,0.157142857142857,6
145,5,3pl3:Bayes:DEC:Bayes,324,15,15,2,1Y,3,0,1EN,0,3,0.0142857142857143,6
145,5,3pl3:Bayes:DEC:Bayes,325,18,18,4,1Y,3,4,1Y,0,3,0.585714285714286,6
145,5,3pl3:Bayes:DEC:Bayes,326,15,15,3,1Y,3,3,1Y,1,3,0.442857142857143,6
145,5,3pl3:Bayes:DEC:Bayes,327,18,18,4,1Y,3,4,1Y,0,3,0.157142857142857,6
145,5,3pl3:Bayes:DEC:Bayes,328,12,12,1,1Y,3,1,1Y,0,3,0.3,6
145,5,3pl3:Bayes:DEC:Bayes,329,21,21,2,1Y,3,2,1Y,0,3,0.3,6
145,5,3pl3:Bayes:DEC:Bayes,330,12,12,1,1Y,3,0,1EN,0,3,0.0142857142857143,6
145,5,3pl3:none:DEC:Bayes,309,24,24,3,1Y,3,3,1Y,1,3,NA,6
145,5,3pl3:none:DEC:Bayes,310,18,18,4,1Y,3,4,1Y,0,3,NA,6
145,5,3pl3:none:DEC:Bayes,311,15,15,2,1Y,3,2,1Y,0,3,NA,6
145,5,3pl3:none:DEC:Bayes,312,21,21,4,1Y,3,4,1Y,0,3,NA,6
145,5,3pl3:none:DEC:Bayes,313,12,12,1,1Y,3,1,1Y,0,3,NA,6
145,5,3pl3:none:DEC:Bayes,314,15,15,2,1Y,3,2,1Y,0,3,NA,6
145,5,3pl3:none:DEC:Bayes,315,21,21,4,1Y,3,4,1Y,0,3,NA,6
145,5,3pl3:none:DEC:Bayes,316,21,21,3,1Y,3,3,1Y,1,3,NA,6
145,5,3pl3:none:DEC:Bayes,317,12,12,2,1Y,3,2,1Y,0,3,NA,6
145,5,3pl3:none:DEC:Bayes,318,15,15,3,1Y,3,3,1Y,1,3,NA,6
145,5,3pl3:none:DEC:Bayes,319,12,12,1,1Y,3,1,1Y,0,3,NA,6
145,5,3pl3:none:DEC:Bayes,320,18,18,3,1Y,3,3,1Y,1,3,NA,6
145,5,3pl3:none:DEC:Bayes,321,15,15,3,1Y,3,3,1Y,1,3,NA,6
145,5,3pl3:none:DEC:Bayes,322,15,15,3,1Y,3,3,1Y,1,3,NA,6
145,5,3pl3:none:DEC:Bayes,323,21,21,4,1Y,3,4,1Y,0,3,NA,6
145,5,3pl3:none:DEC:Bayes,324,15,15,2,1Y,3,2,1Y,0,3,NA,6
145,5,3pl3:none:DEC:Bayes,325,18,18,4,1Y,3,4,1Y,0,3,NA,6
145,5,3pl3:none:DEC:Bayes,326,15,15,3,1Y,3,3,1Y,1,3,NA,6
145,5,3pl3:none:DEC:Bayes,327,18,18,4,1Y,3,4,1Y,0,3,NA,6
145,5,3pl3:none:DEC:Bayes,328,12,12,1,1Y,3,1,1Y,0,3,NA,6
