array_id,scenario,design,sim_id,n_total_enrolled,n_possible_enrolled,estMTD,estMTDCode,trueMTD,RP2D,RP2DCode,RP2DAcceptable,bestP2D,estEff_at_estMTD,num_at_estMTD
782,2,3pl3:Bayes:DEC:Bayes,1717,21,21,3,1Y,4,3,1Y,0,4,0.3,6
782,2,3pl3:Bayes:DEC:Bayes,1718,12,12,2,1Y,4,0,1EN,0,4,0.0142857142857143,6
782,2,3pl3:Bayes:DEC:Bayes,1719,15,15,3,1Y,4,3,1Y,0,4,0.3,6
782,2,3pl3:Bayes:DEC:Bayes,1720,18,18,4,1Y,4,4,1Y,1,4,0.442857142857143,6
782,2,3pl3:Bayes:DEC:Bayes,1721,21,21,3,1Y,4,3,1Y,0,4,0.3,6
782,2,3pl3:Bayes:DEC:Bayes,1722,18,18,3,1Y,4,3,1Y,0,4,0.442857142857143,6
782,2,3pl3:Bayes:DEC:Bayes,1723,21,21,4,1Y,4,4,1Y,1,4,0.3,6
782,2,3pl3:Bayes:DEC:Bayes,1724,12,12,2,1Y,4,0,1EN,0,4,0.0142857142857143,6
782,2,3pl3:Bayes:DEC:Bayes,1725,21,21,4,1Y,4,4,1Y,1,4,0.157142857142857,6
782,2,3pl3:Bayes:DEC:Bayes,1726,21,21,3,1Y,4,3,1Y,0,4,0.157142857142857,6
782,2,3pl3:Bayes:DEC:Bayes,1727,21,21,4,1Y,4,4,1Y,1,4,0.3,6
782,2,3pl3:Bayes:DEC:Bayes,1728,15,15,2,1Y,4,0,1EN,0,4,0.0142857142857143,6
782,2,3pl3:Bayes:DEC:Bayes,1729,24,24,5,1Y,4,5,1Y,0,4,0.442857142857143,6
782,2,3pl3:Bayes:DEC:Bayes,1730,21,21,4,1Y,4,4,1Y,1,4,0.585714285714286,6
782,2,3pl3:Bayes:DEC:Bayes,1731,18,18,3,1Y,4,0,1EN,0,4,0.0142857142857143,6
782,2,3pl3:Bayes:DEC:Bayes,1732,18,18,3,1Y,4,0,1EN,0,4,0.0142857142857143,6
782,2,3pl3:Bayes:DEC:Bayes,1733,15,15,2,1Y,4,2,1Y,0,4,0.157142857142857,6
782,2,3pl3:Bayes:DEC:Bayes,1734,15,15,2,1Y,4,0,1EN,0,4,0.0142857142857143,6
782,2,3pl3:Bayes:DEC:Bayes,1735,18,18,3,1Y,4,0,1EN,0,4,0.0142857142857143,6
782,2,3pl3:Bayes:DEC:Bayes,1736,6,6,0,1N,4,0,1TN,0,4,NA,0
782,2,3pl3:Bayes:DEC:Bayes,1737,18,18,5,1Y,4,0,1EN,0,4,0.0142857142857143,6
782,2,3pl3:Bayes:DEC:Bayes,1738,18,18,5,1Y,4,5,1Y,0,4,0.157142857142857,6
782,2,3pl3:none:DEC:Bayes,1717,21,21,3,1Y,4,3,1Y,0,4,NA,6
782,2,3pl3:none:DEC:Bayes,1718,12,12,2,1Y,4,2,1Y,0,4,NA,6
782,2,3pl3:none:DEC:Bayes,1719,15,15,3,1Y,4,3,1Y,0,4,NA,6
782,2,3pl3:none:DEC:Bayes,1720,18,18,4,1Y,4,4,1Y,1,4,NA,6
782,2,3pl3:none:DEC:Bayes,1721,21,21,3,1Y,4,3,1Y,0,4,NA,6
782,2,3pl3:none:DEC:Bayes,1722,18,18,3,1Y,4,3,1Y,0,4,NA,6
782,2,3pl3:none:DEC:Bayes,1723,21,21,4,1Y,4,4,1Y,1,4,NA,6
782,2,3pl3:none:DEC:Bayes,1724,12,12,2,1Y,4,2,1Y,0,4,NA,6
782,2,3pl3:none:DEC:Bayes,1725,21,21,4,1Y,4,4,1Y,1,4,NA,6
782,2,3pl3:none:DEC:Bayes,1726,21,21,3,1Y,4,3,1Y,0,4,NA,6
782,2,3pl3:none:DEC:Bayes,1727,21,21,4,1Y,4,4,1Y,1,4,NA,6
782,2,3pl3:none:DEC:Bayes,1728,15,15,2,1Y,4,2,1Y,0,4,NA,6
782,2,3pl3:none:DEC:Bayes,1729,24,24,5,1Y,4,5,1Y,0,4,NA,6
782,2,3pl3:none:DEC:Bayes,1730,21,21,4,1Y,4,4,1Y,1,4,NA,6
782,2,3pl3:none:DEC:Bayes,1731,18,18,3,1Y,4,3,1Y,0,4,NA,6
782,2,3pl3:none:DEC:Bayes,1732,18,18,3,1Y,4,3,1Y,0,4,NA,6
782,2,3pl3:none:DEC:Bayes,1733,15,15,2,1Y,4,2,1Y,0,4,NA,6
782,2,3pl3:none:DEC:Bayes,1734,15,15,2,1Y,4,2,1Y,0,4,NA,6
782,2,3pl3:none:DEC:Bayes,1735,18,18,3,1Y,4,3,1Y,0,4,NA,6
782,2,3pl3:none:DEC:Bayes,1736,6,6,0,1N,4,0,1TN,0,4,NA,0
782,2,3pl3:none:DEC:Bayes,1737,18,18,5,1Y,4,5,1Y,0,4,NA,6
782,2,3pl3:none:DEC:Bayes,1738,18,18,5,1Y,4,5,1Y,0,4,NA,6
782,2,3pl3:none:DEC:BIsoReg,1717,21,21,3,1Y,4,3,1Y,0,4,NA,6
782,2,3pl3:none:DEC:BIsoReg,1718,12,12,2,1Y,4,2,1Y,0,4,NA,6
782,2,3pl3:none:DEC:BIsoReg,1719,15,15,3,1Y,4,3,1Y,0,4,NA,6
782,2,3pl3:none:DEC:BIsoReg,1720,18,18,4,1Y,4,4,1Y,1,4,NA,6
