array_id,scenario,design,sim_id,n_total_enrolled,n_possible_enrolled,estMTD,estMTDCode,trueMTD,RP2D,RP2DCode,RP2DAcceptable,bestP2D,estEff_at_estMTD,num_at_estMTD
716,6,3pl3:Bayes:DEC:Bayes,1563,18,53,0,1EN,3,0,1EN,0,3,NA,0
716,6,3pl3:Bayes:DEC:Bayes,1564,3,38,0,1TN,3,0,1TN,0,3,NA,0
716,6,3pl3:Bayes:DEC:Bayes,1565,56,56,2,2Y,3,0,2EN,0,3,0.1,10
716,6,3pl3:Bayes:DEC:Bayes,1566,12,47,0,1EN,3,0,1EN,0,3,NA,0
716,6,3pl3:Bayes:DEC:Bayes,1567,56,56,2,2Y,3,0,2EN,0,3,0.120588235294118,33
716,6,3pl3:Bayes:DEC:Bayes,1568,47,47,1,2Y,3,0,2EN,0,3,0.05,41
716,6,3pl3:Bayes:DEC:Bayes,1569,50,50,2,2Y,3,0,2EN,0,3,0.0738095238095238,41
716,6,3pl3:Bayes:DEC:Bayes,1570,47,47,1,2Y,3,0,2EN,0,3,0.145238095238095,41
716,6,3pl3:Bayes:DEC:Bayes,1571,53,53,3,2Y,3,3,2Y,1,3,0.383333333333333,41
716,6,3pl3:Bayes:DEC:Bayes,1572,44,44,1,2Y,3,0,2EN,0,3,0.0976190476190476,41
716,6,3pl3:Bayes:DEC:Bayes,1573,56,56,3,2Y,3,3,2Y,1,3,0.225925925925926,26
716,6,3pl3:Bayes:DEC:Bayes,1574,50,50,2,2Y,3,2,2Y,0,3,0.188888888888889,26
716,6,3pl3:Bayes:DEC:Bayes,1575,12,47,0,1EN,3,0,1EN,0,3,NA,0
716,6,3pl3:Bayes:DEC:Bayes,1576,62,62,3,2Y,3,3,2Y,1,3,0.306060606060606,32
716,6,3pl3:Bayes:DEC:Bayes,1577,9,44,0,1EN,3,0,1EN,0,3,NA,0
716,6,3pl3:Bayes:DEC:Bayes,1578,50,50,2,2Y,3,0,2EN,0,3,0.0976190476190476,41
716,6,3pl3:Bayes:DEC:Bayes,1579,6,41,0,1TN,3,0,1TN,0,3,NA,0
716,6,3pl3:Bayes:DEC:Bayes,1580,56,56,2,2Y,3,0,2EN,0,3,0.00833333333333333,11
716,6,3pl3:Bayes:DEC:Bayes,1581,53,53,3,2Y,3,3,2Y,1,3,0.288095238095238,41
716,6,3pl3:Bayes:DEC:Bayes,1582,15,50,0,1EN,3,0,1EN,0,3,NA,0
716,6,3pl3:Bayes:DEC:Bayes,1583,6,41,0,1TN,3,0,1TN,0,3,NA,0
716,6,3pl3:Bayes:DEC:Bayes,1584,12,47,0,1EN,3,0,1EN,0,3,NA,0
716,6,3pl3:none:DEC:Bayes,1563,53,53,3,2Y,3,3,2Y,1,3,0.264285714285714,41
716,6,3pl3:none:DEC:Bayes,1564,3,38,0,1TN,3,0,1TN,0,3,NA,0
716,6,3pl3:none:DEC:Bayes,1565,56,56,3,2Y,3,3,2Y,1,3,0.229032258064516,30
716,6,3pl3:none:DEC:Bayes,1566,47,47,1,2Y,3,0,2EN,0,3,0.0738095238095238,41
