array_id,scenario,design,sim_id,n_total_enrolled,n_possible_enrolled,estMTD,estMTDCode,trueMTD,RP2D,RP2DCode,RP2DAcceptable,bestP2D,estEff_at_estMTD,num_at_estMTD
833,3,3pl3:Bayes:DEC:Bayes,1827,53,53,2,2Y,4,2,2Y,0,4,0.192857142857143,41
833,3,3pl3:Bayes:DEC:Bayes,1828,62,62,3,2Y,4,3,2Y,1,4,0.203333333333333,29
833,3,3pl3:Bayes:DEC:Bayes,1829,59,59,3,2Y,4,3,2Y,1,4,0.288095238095238,41
833,3,3pl3:Bayes:DEC:Bayes,1830,53,53,2,2Y,4,0,2EN,0,4,0.103333333333333,29
833,3,3pl3:Bayes:DEC:Bayes,1831,50,50,2,2Y,4,2,2Y,0,4,0.338095238095238,20
833,3,3pl3:Bayes:DEC:Bayes,1832,50,50,2,2Y,4,2,2Y,0,4,0.35952380952381,41
833,3,3pl3:Bayes:DEC:Bayes,1833,12,47,0,1EN,4,0,1EN,0,4,NA,0
833,3,3pl3:Bayes:DEC:Bayes,1834,50,50,2,2Y,4,0,2EN,0,4,0.145238095238095,41
833,3,3pl3:Bayes:DEC:Bayes,1835,6,41,0,1TN,4,0,1TN,0,4,NA,0
833,3,3pl3:Bayes:DEC:Bayes,1836,53,53,3,2Y,4,3,2Y,1,4,0.262962962962963,26
833,3,3pl3:Bayes:DEC:Bayes,1837,18,53,0,1EN,4,0,1EN,0,4,NA,0
833,3,3pl3:Bayes:DEC:Bayes,1838,56,56,2,2Y,4,0,2EN,0,4,0.145238095238095,41
833,3,3pl3:Bayes:DEC:Bayes,1839,12,47,0,1EN,4,0,1EN,0,4,NA,0
833,3,3pl3:Bayes:DEC:Bayes,1840,62,62,2,2Y,4,2,2Y,0,4,0.192857142857143,41
833,3,3pl3:Bayes:DEC:Bayes,1841,53,53,3,2Y,4,3,2Y,1,4,0.264285714285714,41
833,3,3pl3:Bayes:DEC:Bayes,1842,6,41,0,1TN,4,0,1TN,0,4,NA,0
833,3,3pl3:Bayes:DEC:Bayes,1843,50,50,2,2Y,4,0,2EN,0,4,0.169047619047619,41
833,3,3pl3:Bayes:DEC:Bayes,1844,59,59,2,2Y,4,0,2EN,0,4,0.0976190476190476,41
833,3,3pl3:Bayes:DEC:Bayes,1845,53,53,3,2Y,4,0,2EN,0,4,0.145238095238095,41
833,3,3pl3:Bayes:DEC:Bayes,1846,50,50,2,2Y,4,0,2EN,0,4,0.0738095238095238,41
833,3,3pl3:Bayes:DEC:Bayes,1847,56,56,3,2Y,4,3,2Y,1,4,0.215789473684211,18
833,3,3pl3:Bayes:DEC:Bayes,1848,56,56,3,2Y,4,0,2EN,0,4,0.164,24
