array_id,scenario,design,sim_id,n_total_enrolled,n_possible_enrolled,estMTD,estMTDCode,trueMTD,RP2D,RP2DCode,RP2DAcceptable,bestP2D,estEff_at_estMTD,num_at_estMTD
220,10,3pl3:Bayes:DEC:Bayes,463,6,41,0,1TN,2,0,1TN,0,2,NA,0
220,10,3pl3:Bayes:DEC:Bayes,464,27,47,0,2TN,2,0,2TN,0,2,NA,0
220,10,3pl3:Bayes:DEC:Bayes,465,12,47,0,1TN,2,0,1TN,0,2,NA,0
220,10,3pl3:Bayes:DEC:Bayes,466,6,41,0,1TN,2,0,1TN,0,2,NA,0
220,10,3pl3:Bayes:DEC:Bayes,467,47,47,1,2Y,2,1,2Y,1,2,0.383333333333333,41
220,10,3pl3:Bayes:DEC:Bayes,468,3,38,0,1TN,2,0,1TN,0,2,NA,0
220,10,3pl3:Bayes:DEC:Bayes,469,6,41,0,1TN,2,0,1TN,0,2,NA,0
220,10,3pl3:Bayes:DEC:Bayes,470,47,47,1,2Y,2,1,2Y,1,2,0.35952380952381,41
220,10,3pl3:Bayes:DEC:Bayes,471,50,50,2,2Y,2,2,2Y,1,2,0.407142857142857,41
220,10,3pl3:Bayes:DEC:Bayes,472,27,44,0,2TN,2,0,2TN,0,2,NA,0
220,10,3pl3:Bayes:DEC:Bayes,473,50,56,0,2TN,2,0,2TN,0,2,NA,0
220,10,3pl3:Bayes:DEC:Bayes,474,53,53,2,2Y,2,0,2EN,0,2,0.159375,31
220,10,3pl3:Bayes:DEC:Bayes,475,6,41,0,1TN,2,0,1TN,0,2,NA,0
220,10,3pl3:Bayes:DEC:Bayes,476,23,47,0,2TN,2,0,2TN,0,2,NA,0
220,10,3pl3:Bayes:DEC:Bayes,477,6,41,0,1TN,2,0,1TN,0,2,NA,0
220,10,3pl3:Bayes:DEC:Bayes,478,47,47,1,2Y,2,1,2Y,1,2,0.407142857142857,41
220,10,3pl3:Bayes:DEC:Bayes,479,53,53,1,2Y,2,1,2Y,1,2,0.203333333333333,29
220,10,3pl3:Bayes:DEC:Bayes,480,50,50,1,2Y,2,1,2Y,1,2,0.262962962962963,26
220,10,3pl3:Bayes:DEC:Bayes,481,23,47,0,2TN,2,0,2TN,0,2,NA,0
220,10,3pl3:Bayes:DEC:Bayes,482,53,53,1,2Y,2,1,2Y,1,2,0.454761904761905,41
220,10,3pl3:Bayes:DEC:Bayes,483,47,47,2,2Y,2,2,2Y,1,2,0.430952380952381,41
220,10,3pl3:Bayes:DEC:Bayes,484,6,41,0,1TN,2,0,1TN,0,2,NA,0
220,10,3pl3:none:DEC:Bayes,463,6,41,0,1TN,2,0,1TN,0,2,NA,0
220,10,3pl3:none:DEC:Bayes,464,27,47,0,2TN,2,0,2TN,0,2,NA,0
220,10,3pl3:none:DEC:Bayes,465,12,47,0,1TN,2,0,1TN,0,2,NA,0
220,10,3pl3:none:DEC:Bayes,466,6,41,0,1TN,2,0,1TN,0,2,NA,0
220,10,3pl3:none:DEC:Bayes,467,47,47,1,2Y,2,1,2Y,1,2,0.383333333333333,41
220,10,3pl3:none:DEC:Bayes,468,3,38,0,1TN,2,0,1TN,0,2,NA,0
220,10,3pl3:none:DEC:Bayes,469,6,41,0,1TN,2,0,1TN,0,2,NA,0
220,10,3pl3:none:DEC:Bayes,470,47,47,1,2Y,2,1,2Y,1,2,0.35952380952381,41
220,10,3pl3:none:DEC:Bayes,471,50,50,2,2Y,2,2,2Y,1,2,0.407142857142857,41
220,10,3pl3:none:DEC:Bayes,472,27,44,0,2TN,2,0,2TN,0,2,NA,0
220,10,3pl3:none:DEC:Bayes,473,50,56,0,2TN,2,0,2TN,0,2,NA,0
