array_id,scenario,design,sim_id,n_total_enrolled,n_possible_enrolled,estMTD,estMTDCode,trueMTD,RP2D,RP2DCode,RP2DAcceptable,bestP2D,estEff_at_estMTD,num_at_estMTD
288,8,3pl3:Bayes:DEC:Bayes,617,9,44,0,1EN,2,0,1EN,0,2,NA,0
288,8,3pl3:Bayes:DEC:Bayes,618,44,44,1,2Y,2,0,2EN,0,2,0.145238095238095,41
288,8,3pl3:Bayes:DEC:Bayes,619,12,47,0,1EN,2,0,1EN,0,2,NA,0
288,8,3pl3:Bayes:DEC:Bayes,620,50,50,2,2Y,2,2,2Y,1,2,0.335714285714286,41
288,8,3pl3:Bayes:DEC:Bayes,621,47,47,2,2Y,2,0,2EN,0,2,0.169047619047619,41
288,8,3pl3:Bayes:DEC:Bayes,622,53,53,2,2Y,2,2,2Y,1,2,0.382758620689655,28
288,8,3pl3:Bayes:DEC:Bayes,623,50,50,1,2Y,2,0,2EN,0,2,0.0458333333333333,23
288,8,3pl3:Bayes:DEC:Bayes,624,12,47,0,1EN,2,0,1EN,0,2,NA,0
288,8,3pl3:Bayes:DEC:Bayes,625,47,47,2,2Y,2,2,2Y,1,2,0.311904761904762,41
288,8,3pl3:Bayes:DEC:Bayes,626,15,50,0,1EN,2,0,1EN,0,2,NA,0
288,8,3pl3:Bayes:DEC:Bayes,627,12,47,0,1EN,2,0,1EN,0,2,NA,0
288,8,3pl3:Bayes:DEC:Bayes,628,9,44,0,1EN,2,0,1EN,0,2,NA,0
288,8,3pl3:Bayes:DEC:Bayes,629,53,53,1,2Y,2,0,2EN,0,2,0.0523809523809524,20
288,8,3pl3:Bayes:DEC:Bayes,630,12,47,0,1EN,2,0,1EN,0,2,NA,0
288,8,3pl3:Bayes:DEC:Bayes,631,47,47,2,2Y,2,2,2Y,1,2,0.407142857142857,41
288,8,3pl3:Bayes:DEC:Bayes,632,44,44,1,2Y,2,0,2EN,0,2,0.169047619047619,41
288,8,3pl3:Bayes:DEC:Bayes,633,50,50,1,2Y,2,0,2EN,0,2,0.05,41
288,8,3pl3:Bayes:DEC:Bayes,634,47,47,1,2Y,2,0,2EN,0,2,0.05,41
288,8,3pl3:Bayes:DEC:Bayes,635,53,53,2,2Y,2,2,2Y,1,2,0.305,19
288,8,3pl3:Bayes:DEC:Bayes,636,3,38,0,1TN,2,0,1TN,0,2,NA,0
288,8,3pl3:Bayes:DEC:Bayes,637,44,44,1,2Y,2,0,2EN,0,2,0.121428571428571,41
288,8,3pl3:Bayes:DEC:Bayes,638,21,56,0,1EN,2,0,1EN,0,2,NA,0
288,8,3pl3:none:DEC:Bayes,617,44,44,1,2Y,2,0,2EN,0,2,0.00238095238095238,41
288,8,3pl3:none:DEC:Bayes,618,44,44,1,2Y,2,0,2EN,0,2,0.0976190476190476,41
288,8,3pl3:none:DEC:Bayes,619,47,47,1,2Y,2,0,2EN,0,2,0.0976190476190476,41
288,8,3pl3:none:DEC:Bayes,620,50,50,2,2Y,2,2,2Y,1,2,0.288095238095238,41
288,8,3pl3:none:DEC:Bayes,621,47,47,1,2Y,2,0,2EN,0,2,0.141379310344828,28
288,8,3pl3:none:DEC:Bayes,622,53,53,2,2Y,2,2,2Y,1,2,0.379166666666667,23
288,8,3pl3:none:DEC:Bayes,623,50,50,1,2Y,2,0,2EN,0,2,0.0611111111111111,17
288,8,3pl3:none:DEC:Bayes,624,47,47,1,2Y,2,0,2EN,0,2,0.0738095238095238,41
288,8,3pl3:none:DEC:Bayes,625,47,47,2,2Y,2,2,2Y,1,2,0.311904761904762,41
288,8,3pl3:none:DEC:Bayes,626,50,50,1,2Y,2,0,2EN,0,2,0.067741935483871,30
288,8,3pl3:none:DEC:Bayes,627,47,47,1,2Y,2,0,2EN,0,2,0.0976190476190476,41
288,8,3pl3:none:DEC:Bayes,628,44,44,1,2Y,2,0,2EN,0,2,0.0976190476190476,41
288,8,3pl3:none:DEC:Bayes,629,53,53,2,2Y,2,2,2Y,1,2,0.335714285714286,41
288,8,3pl3:none:DEC:Bayes,630,47,47,1,2Y,2,0,2EN,0,2,0.145238095238095,41
288,8,3pl3:none:DEC:Bayes,631,47,47,2,2Y,2,2,2Y,1,2,0.35952380952381,41
288,8,3pl3:none:DEC:Bayes,632,44,44,1,2Y,2,0,2EN,0,2,0.145238095238095,41
288,8,3pl3:none:DEC:Bayes,633,50,50,1,2Y,2,0,2EN,0,2,0.121428571428571,41
288,8,3pl3:none:DEC:Bayes,634,47,47,1,2Y,2,0,2EN,0,2,0.145238095238095,41
288,8,3pl3:none:DEC:Bayes,635,53,53,2,2Y,2,2,2Y,1,2,0.476470588235294,16
288,8,3pl3:none:DEC:Bayes,636,3,38,0,1TN,2,0,1TN,0,2,NA,0
288,8,3pl3:none:DEC:Bayes,637,44,44,1,2Y,2,0,2EN,0,2,0.145238095238095,41
288,8,3pl3:none:DEC:Bayes,638,56,56,1,2Y,2,0,2EN,0,2,0.0875,23
288,8,3pl3:none:DEC:BIsoReg,617,44,44,1,2Y,2,0,2EN,0,2,0.014845018943502,41
288,8,3pl3:none:DEC:BIsoReg,618,44,44,1,2Y,2,0,2EN,0,2,0.0905538965727285,41
288,8,3pl3:none:DEC:BIsoReg,619,47,47,1,2Y,2,0,2EN,0,2,0.107005348480297,41
288,8,3pl3:none:DEC:BIsoReg,620,50,50,2,2Y,2,2,2Y,1,2,0.283373625229015,41
288,8,3pl3:none:DEC:BIsoReg,621,47,47,1,2Y,2,0,2EN,0,2,0.16070621058315,28
288,8,3pl3:none:DEC:BIsoReg,622,53,53,2,2Y,2,2,2Y,1,2,0.381789934736137,23
288,8,3pl3:none:DEC:BIsoReg,623,50,50,1,2Y,2,0,2EN,0,2,0.0873437995891545,17
288,8,3pl3:none:DEC:BIsoReg,624,47,47,1,2Y,2,0,2EN,0,2,0.082894496467314,41
288,8,3pl3:none:DEC:BIsoReg,625,47,47,2,2Y,2,2,2Y,1,2,0.288883801337775,41
288,8,3pl3:none:DEC:BIsoReg,626,50,50,1,2Y,2,0,2EN,0,2,0.080079087850179,30
288,8,3pl3:none:DEC:BIsoReg,627,47,47,1,2Y,2,0,2EN,0,2,0.106542835416127,41
