array_id,scenario,design,sim_id,n_total_enrolled,n_possible_enrolled,estMTD,estMTDCode,trueMTD,RP2D,RP2DCode,RP2DAcceptable,bestP2D,estEff_at_estMTD,num_at_estMTD
4,4,3pl3:Bayes:DEC:Bayes,1,18,18,3,1Y,4,3,1Y,0,4,0.157142857142857,6
4,4,3pl3:Bayes:DEC:Bayes,2,18,18,4,1Y,4,4,1Y,1,4,0.3,6
4,4,3pl3:Bayes:DEC:Bayes,3,15,15,2,1Y,4,2,1Y,0,4,0.157142857142857,6
4,4,3pl3:Bayes:DEC:Bayes,4,18,18,2,1Y,4,2,1Y,0,4,0.157142857142857,6
4,4,3pl3:Bayes:DEC:Bayes,5,18,18,5,1Y,4,5,1Y,0,4,0.728571428571429,6
4,4,3pl3:Bayes:DEC:Bayes,6,21,21,4,1Y,4,0,1EN,0,4,0.0142857142857143,6
4,4,3pl3:Bayes:DEC:Bayes,7,21,21,2,1Y,4,2,1Y,0,4,0.157142857142857,6
4,4,3pl3:Bayes:DEC:Bayes,8,12,12,2,1Y,4,2,1Y,0,4,0.157142857142857,6
4,4,3pl3:Bayes:DEC:Bayes,9,18,18,3,1Y,4,3,1Y,0,4,0.157142857142857,6
4,4,3pl3:Bayes:DEC:Bayes,10,15,15,2,1Y,4,0,1EN,0,4,0.0142857142857143,6
4,4,3pl3:Bayes:DEC:Bayes,11,24,24,3,1Y,4,3,1Y,0,4,0.157142857142857,6
4,4,3pl3:Bayes:DEC:Bayes,12,24,24,4,1Y,4,4,1Y,1,4,0.442857142857143,6
4,4,3pl3:Bayes:DEC:Bayes,13,18,18,5,1Y,4,5,1Y,0,4,0.157142857142857,6
4,4,3pl3:Bayes:DEC:Bayes,14,24,24,3,1Y,4,3,1Y,0,4,0.157142857142857,6
4,4,3pl3:Bayes:DEC:Bayes,15,12,12,2,1Y,4,2,1Y,0,4,0.157142857142857,6
4,4,3pl3:Bayes:DEC:Bayes,16,21,21,3,1Y,4,3,1Y,0,4,0.157142857142857,6
4,4,3pl3:Bayes:DEC:Bayes,17,15,15,2,1Y,4,0,1EN,0,4,0.0142857142857143,6
4,4,3pl3:Bayes:DEC:Bayes,18,18,18,4,1Y,4,4,1Y,1,4,0.3,6
4,4,3pl3:Bayes:DEC:Bayes,19,15,15,2,1Y,4,0,1EN,0,4,0.0142857142857143,6
4,4,3pl3:Bayes:DEC:Bayes,20,18,18,3,1Y,4,3,1Y,0,4,0.3,6
4,4,3pl3:Bayes:DEC:Bayes,21,12,12,2,1Y,4,0,1EN,0,4,0.0142857142857143,6
4,4,3pl3:Bayes:DEC:Bayes,22,18,18,3,1Y,4,0,1EN,0,4,0.0142857142857143,6
