array_id,scenario,design,sim_id,n_total_enrolled,n_possible_enrolled,estMTD,estMTDCode,trueMTD,RP2D,RP2DCode,RP2DAcceptable,bestP2D,estEff_at_estMTD,num_at_estMTD
659,9,3pl3:Bayes:DEC:Bayes,1431,6,6,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:Bayes:DEC:Bayes,1432,3,3,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:Bayes:DEC:Bayes,1433,18,18,2,1Y,2,2,1Y,0,0,0.3,6
659,9,3pl3:Bayes:DEC:Bayes,1434,15,15,2,1Y,2,2,1Y,0,0,0.157142857142857,6
659,9,3pl3:Bayes:DEC:Bayes,1435,12,12,2,1Y,2,2,1Y,0,0,0.157142857142857,6
659,9,3pl3:Bayes:DEC:Bayes,1436,18,18,2,1Y,2,2,1Y,0,0,0.157142857142857,6
659,9,3pl3:Bayes:DEC:Bayes,1437,9,9,1,1Y,2,1,1Y,0,0,0.157142857142857,6
659,9,3pl3:Bayes:DEC:Bayes,1438,12,12,1,1Y,2,0,1EN,1,0,0.0142857142857143,6
659,9,3pl3:Bayes:DEC:Bayes,1439,12,12,1,1Y,2,0,1EN,1,0,0.0142857142857143,6
659,9,3pl3:Bayes:DEC:Bayes,1440,9,9,1,1Y,2,1,1Y,0,0,0.157142857142857,6
659,9,3pl3:Bayes:DEC:Bayes,1441,15,15,2,1Y,2,2,1Y,0,0,0.157142857142857,6
659,9,3pl3:Bayes:DEC:Bayes,1442,3,3,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:Bayes:DEC:Bayes,1443,15,15,3,1Y,2,3,1Y,0,0,0.157142857142857,6
659,9,3pl3:Bayes:DEC:Bayes,1444,9,9,1,1Y,2,0,1EN,1,0,0.0142857142857143,6
659,9,3pl3:Bayes:DEC:Bayes,1445,21,21,2,1Y,2,2,1Y,0,0,0.3,6
659,9,3pl3:Bayes:DEC:Bayes,1446,15,15,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:Bayes:DEC:Bayes,1447,12,12,1,1Y,2,0,1EN,1,0,0.0142857142857143,6
659,9,3pl3:Bayes:DEC:Bayes,1448,12,12,1,1Y,2,1,1Y,0,0,0.157142857142857,6
659,9,3pl3:Bayes:DEC:Bayes,1449,3,3,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:Bayes:DEC:Bayes,1450,15,15,2,1Y,2,2,1Y,0,0,0.442857142857143,6
659,9,3pl3:Bayes:DEC:Bayes,1451,12,12,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:Bayes:DEC:Bayes,1452,15,15,2,1Y,2,2,1Y,0,0,0.157142857142857,6
659,9,3pl3:none:DEC:Bayes,1431,6,6,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:none:DEC:Bayes,1432,3,3,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:none:DEC:Bayes,1433,18,18,2,1Y,2,2,1Y,0,0,NA,6
659,9,3pl3:none:DEC:Bayes,1434,15,15,2,1Y,2,2,1Y,0,0,NA,6
659,9,3pl3:none:DEC:Bayes,1435,12,12,2,1Y,2,2,1Y,0,0,NA,6
659,9,3pl3:none:DEC:Bayes,1436,18,18,2,1Y,2,2,1Y,0,0,NA,6
659,9,3pl3:none:DEC:Bayes,1437,9,9,1,1Y,2,1,1Y,0,0,NA,6
659,9,3pl3:none:DEC:Bayes,1438,12,12,1,1Y,2,1,1Y,0,0,NA,6
659,9,3pl3:none:DEC:Bayes,1439,12,12,1,1Y,2,1,1Y,0,0,NA,6
659,9,3pl3:none:DEC:Bayes,1440,9,9,1,1Y,2,1,1Y,0,0,NA,6
659,9,3pl3:none:DEC:Bayes,1441,15,15,2,1Y,2,2,1Y,0,0,NA,6
659,9,3pl3:none:DEC:Bayes,1442,3,3,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:none:DEC:Bayes,1443,15,15,3,1Y,2,3,1Y,0,0,NA,6
659,9,3pl3:none:DEC:Bayes,1444,9,9,1,1Y,2,1,1Y,0,0,NA,6
659,9,3pl3:none:DEC:Bayes,1445,21,21,2,1Y,2,2,1Y,0,0,NA,6
659,9,3pl3:none:DEC:Bayes,1446,15,15,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:none:DEC:Bayes,1447,12,12,1,1Y,2,1,1Y,0,0,NA,6
659,9,3pl3:none:DEC:Bayes,1448,12,12,1,1Y,2,1,1Y,0,0,NA,6
659,9,3pl3:none:DEC:Bayes,1449,3,3,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:none:DEC:Bayes,1450,15,15,2,1Y,2,2,1Y,0,0,NA,6
659,9,3pl3:none:DEC:Bayes,1451,12,12,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:none:DEC:Bayes,1452,15,15,2,1Y,2,2,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1431,6,6,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:none:DEC:BIsoReg,1432,3,3,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:none:DEC:BIsoReg,1433,18,18,2,1Y,2,2,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1434,15,15,2,1Y,2,2,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1435,12,12,2,1Y,2,2,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1436,18,18,2,1Y,2,2,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1437,9,9,1,1Y,2,1,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1438,12,12,1,1Y,2,1,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1439,12,12,1,1Y,2,1,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1440,9,9,1,1Y,2,1,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1441,15,15,2,1Y,2,2,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1442,3,3,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:none:DEC:BIsoReg,1443,15,15,3,1Y,2,3,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1444,9,9,1,1Y,2,1,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1445,21,21,2,1Y,2,2,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1446,15,15,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:none:DEC:BIsoReg,1447,12,12,1,1Y,2,1,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1448,12,12,1,1Y,2,1,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1449,3,3,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:none:DEC:BIsoReg,1450,15,15,2,1Y,2,2,1Y,0,0,NA,6
659,9,3pl3:none:DEC:BIsoReg,1451,12,12,0,1N,2,0,1TN,1,0,NA,0
659,9,3pl3:none:DEC:BIsoReg,1452,15,15,2,1Y,2,2,1Y,0,0,NA,6
659,9,CRM:Bayes:CRM:Bayes,1431,25,25,1,1Y,2,0,1EN,1,0,0.00769230769230769,12
659,9,CRM:Bayes:CRM:Bayes,1432,23,25,0,1N,2,0,1TN,1,0,NA,0
659,9,CRM:Bayes:CRM:Bayes,1433,25,25,2,1Y,2,2,1Y,0,0,0.3875,7
659,9,CRM:Bayes:CRM:Bayes,1434,25,25,3,1Y,2,0,1EN,1,0,0.06875,15
659,9,CRM:Bayes:CRM:Bayes,1435,25,25,2,1Y,2,0,1EN,1,0,0.0111111111111111,8
