array_id,scenario,design,sim_id,n_total_enrolled,n_possible_enrolled,estMTD,estMTDCode,trueMTD,RP2D,RP2DCode,RP2DAcceptable,bestP2D,estEff_at_estMTD,num_at_estMTD
26,6,3pl3:Bayes:DEC:Bayes,45,18,18,1,1Y,3,0,1EN,0,3,0.0142857142857143,6
26,6,3pl3:Bayes:DEC:Bayes,46,6,6,0,1N,3,0,1TN,0,3,NA,0
26,6,3pl3:Bayes:DEC:Bayes,47,15,15,3,1Y,3,3,1Y,1,3,0.157142857142857,6
26,6,3pl3:Bayes:DEC:Bayes,48,18,18,4,1Y,3,4,1Y,0,3,0.585714285714286,6
26,6,3pl3:Bayes:DEC:Bayes,49,12,12,1,1Y,3,0,1EN,0,3,0.0142857142857143,6
26,6,3pl3:Bayes:DEC:Bayes,50,15,15,3,1Y,3,3,1Y,1,3,0.3,6
26,6,3pl3:Bayes:DEC:Bayes,51,15,15,3,1Y,3,3,1Y,1,3,0.442857142857143,6
26,6,3pl3:Bayes:DEC:Bayes,52,12,12,1,1Y,3,1,1Y,0,3,0.157142857142857,6
26,6,3pl3:Bayes:DEC:Bayes,53,15,15,2,1Y,3,0,1EN,0,3,0.0142857142857143,6
26,6,3pl3:Bayes:DEC:Bayes,54,12,12,2,1Y,3,0,1EN,0,3,0.0142857142857143,6
26,6,3pl3:Bayes:DEC:Bayes,55,12,12,1,1Y,3,0,1EN,0,3,0.0142857142857143,6
26,6,3pl3:Bayes:DEC:Bayes,56,18,18,4,1Y,3,4,1Y,0,3,0.157142857142857,6
26,6,3pl3:Bayes:DEC:Bayes,57,15,15,2,1Y,3,2,1Y,0,3,0.3,6
26,6,3pl3:Bayes:DEC:Bayes,58,3,3,0,1N,3,0,1TN,0,3,NA,0
26,6,3pl3:Bayes:DEC:Bayes,59,12,12,1,1Y,3,1,1Y,0,3,0.157142857142857,6
26,6,3pl3:Bayes:DEC:Bayes,60,12,12,1,1Y,3,0,1EN,0,3,0.0142857142857143,6
26,6,3pl3:Bayes:DEC:Bayes,61,15,15,3,1Y,3,3,1Y,1,3,0.442857142857143,6
26,6,3pl3:Bayes:DEC:Bayes,62,15,15,2,1Y,3,0,1EN,0,3,0.0142857142857143,6
26,6,3pl3:Bayes:DEC:Bayes,63,15,15,2,1Y,3,2,1Y,0,3,0.157142857142857,6
26,6,3pl3:Bayes:DEC:Bayes,64,6,6,0,1N,3,0,1TN,0,3,NA,0
26,6,3pl3:Bayes:DEC:Bayes,65,15,15,3,1Y,3,3,1Y,1,3,0.3,6
26,6,3pl3:Bayes:DEC:Bayes,66,21,21,3,1Y,3,3,1Y,1,3,0.157142857142857,6
26,6,3pl3:none:DEC:Bayes,45,18,18,1,1Y,3,1,1Y,0,3,NA,6
26,6,3pl3:none:DEC:Bayes,46,6,6,0,1N,3,0,1TN,0,3,NA,0
26,6,3pl3:none:DEC:Bayes,47,15,15,3,1Y,3,3,1Y,1,3,NA,6
26,6,3pl3:none:DEC:Bayes,48,18,18,4,1Y,3,4,1Y,0,3,NA,6
26,6,3pl3:none:DEC:Bayes,49,12,12,1,1Y,3,1,1Y,0,3,NA,6
26,6,3pl3:none:DEC:Bayes,50,15,15,3,1Y,3,3,1Y,1,3,NA,6
26,6,3pl3:none:DEC:Bayes,51,15,15,3,1Y,3,3,1Y,1,3,NA,6
26,6,3pl3:none:DEC:Bayes,52,12,12,1,1Y,3,1,1Y,0,3,NA,6
26,6,3pl3:none:DEC:Bayes,53,15,15,2,1Y,3,2,1Y,0,3,NA,6
26,6,3pl3:none:DEC:Bayes,54,12,12,2,1Y,3,2,1Y,0,3,NA,6
26,6,3pl3:none:DEC:Bayes,55,12,12,1,1Y,3,1,1Y,0,3,NA,6
26,6,3pl3:none:DEC:Bayes,56,18,18,4,1Y,3,4,1Y,0,3,NA,6
26,6,3pl3:none:DEC:Bayes,57,15,15,2,1Y,3,2,1Y,0,3,NA,6
26,6,3pl3:none:DEC:Bayes,58,3,3,0,1N,3,0,1TN,0,3,NA,0
26,6,3pl3:none:DEC:Bayes,59,12,12,1,1Y,3,1,1Y,0,3,NA,6
26,6,3pl3:none:DEC:Bayes,60,12,12,1,1Y,3,1,1Y,0,3,NA,6
26,6,3pl3:none:DEC:Bayes,61,15,15,3,1Y,3,3,1Y,1,3,NA,6
26,6,3pl3:none:DEC:Bayes,62,15,15,2,1Y,3,2,1Y,0,3,NA,6
26,6,3pl3:none:DEC:Bayes,63,15,15,2,1Y,3,2,1Y,0,3,NA,6
26,6,3pl3:none:DEC:Bayes,64,6,6,0,1N,3,0,1TN,0,3,NA,0
26,6,3pl3:none:DEC:Bayes,65,15,15,3,1Y,3,3,1Y,1,3,NA,6
26,6,3pl3:none:DEC:Bayes,66,21,21,3,1Y,3,3,1Y,1,3,NA,6
26,6,3pl3:none:DEC:BIsoReg,45,18,18,1,1Y,3,1,1Y,0,3,NA,6
26,6,3pl3:none:DEC:BIsoReg,46,6,6,0,1N,3,0,1TN,0,3,NA,0
26,6,3pl3:none:DEC:BIsoReg,47,15,15,3,1Y,3,3,1Y,1,3,NA,6
26,6,3pl3:none:DEC:BIsoReg,48,18,18,4,1Y,3,4,1Y,0,3,NA,6
26,6,3pl3:none:DEC:BIsoReg,49,12,12,1,1Y,3,1,1Y,0,3,NA,6
26,6,3pl3:none:DEC:BIsoReg,50,15,15,3,1Y,3,3,1Y,1,3,NA,6
26,6,3pl3:none:DEC:BIsoReg,51,15,15,3,1Y,3,3,1Y,1,3,NA,6
26,6,3pl3:none:DEC:BIsoReg,52,12,12,1,1Y,3,1,1Y,0,3,NA,6
26,6,3pl3:none:DEC:BIsoReg,53,15,15,2,1Y,3,2,1Y,0,3,NA,6
26,6,3pl3:none:DEC:BIsoReg,54,12,12,2,1Y,3,2,1Y,0,3,NA,6
26,6,3pl3:none:DEC:BIsoReg,55,12,12,1,1Y,3,1,1Y,0,3,NA,6
26,6,3pl3:none:DEC:BIsoReg,56,18,18,4,1Y,3,4,1Y,0,3,NA,6
