array_id,scenario,design,sim_id,n_total_enrolled,n_possible_enrolled,estMTD,estMTDCode,trueMTD,RP2D,RP2DCode,RP2DAcceptable,bestP2D,estEff_at_estMTD,num_at_estMTD
263,3,3pl3:Bayes:DEC:Bayes,573,15,50,0,1EN,4,0,1EN,0,4,NA,0
263,3,3pl3:Bayes:DEC:Bayes,574,50,50,2,2Y,4,2,2Y,0,4,0.216666666666667,41
263,3,3pl3:Bayes:DEC:Bayes,575,53,53,3,2Y,4,3,2Y,1,4,0.24047619047619,41
263,3,3pl3:Bayes:DEC:Bayes,576,53,53,3,2Y,4,3,2Y,1,4,0.216666666666667,41
263,3,3pl3:Bayes:DEC:Bayes,577,53,53,3,2Y,4,3,2Y,1,4,0.24047619047619,41
263,3,3pl3:Bayes:DEC:Bayes,578,50,50,3,2Y,4,0,2EN,0,4,0.169047619047619,41
263,3,3pl3:Bayes:DEC:Bayes,579,18,53,0,1EN,4,0,1EN,0,4,NA,0
263,3,3pl3:Bayes:DEC:Bayes,580,56,56,4,2Y,4,4,2Y,1,4,0.35952380952381,41
263,3,3pl3:Bayes:DEC:Bayes,581,50,50,2,2Y,4,2,2Y,0,4,0.225925925925926,26
263,3,3pl3:Bayes:DEC:Bayes,582,24,59,0,1EN,4,0,1EN,0,4,NA,0
263,3,3pl3:Bayes:DEC:Bayes,583,56,56,3,2Y,4,3,2Y,1,4,0.394444444444444,17
263,3,3pl3:Bayes:DEC:Bayes,584,56,56,2,2Y,4,0,2EN,0,4,0.136666666666667,29
263,3,3pl3:Bayes:DEC:Bayes,585,12,47,0,1EN,4,0,1EN,0,4,NA,0
263,3,3pl3:Bayes:DEC:Bayes,586,50,50,2,2Y,4,2,2Y,0,4,0.192857142857143,41
263,3,3pl3:Bayes:DEC:Bayes,587,59,59,4,2Y,4,4,2Y,1,4,0.34,14
263,3,3pl3:Bayes:DEC:Bayes,588,53,53,4,2Y,4,4,2Y,1,4,0.35952380952381,41
263,3,3pl3:Bayes:DEC:Bayes,589,15,50,0,1EN,4,0,1EN,0,4,NA,0
263,3,3pl3:Bayes:DEC:Bayes,590,15,50,0,1EN,4,0,1EN,0,4,NA,0
263,3,3pl3:Bayes:DEC:Bayes,591,56,56,2,2Y,4,0,2EN,0,4,0.121428571428571,41
263,3,3pl3:Bayes:DEC:Bayes,592,56,56,3,2Y,4,3,2Y,1,4,0.24047619047619,41
263,3,3pl3:Bayes:DEC:Bayes,593,50,50,2,2Y,4,0,2EN,0,4,0.128125,31
263,3,3pl3:Bayes:DEC:Bayes,594,50,50,2,2Y,4,0,2EN,0,4,0.0976190476190476,41
263,3,3pl3:none:DEC:Bayes,573,50,50,2,2Y,4,0,2EN,0,4,0.192857142857143,41
263,3,3pl3:none:DEC:Bayes,574,50,50,2,2Y,4,2,2Y,0,4,0.24047619047619,41
263,3,3pl3:none:DEC:Bayes,575,53,53,3,2Y,4,0,2EN,0,4,0.192857142857143,41
263,3,3pl3:none:DEC:Bayes,576,53,53,3,2Y,4,3,2Y,1,4,0.216666666666667,41
263,3,3pl3:none:DEC:Bayes,577,53,53,3,2Y,4,0,2EN,0,4,0.169047619047619,41
263,3,3pl3:none:DEC:Bayes,578,50,50,3,2Y,4,3,2Y,1,4,0.264285714285714,41
263,3,3pl3:none:DEC:Bayes,579,53,53,2,2Y,4,0,2EN,0,4,0.114814814814815,26
263,3,3pl3:none:DEC:Bayes,580,56,56,3,2Y,4,3,2Y,1,4,0.227777777777778,17
263,3,3pl3:none:DEC:Bayes,581,50,50,2,2Y,4,2,2Y,0,4,0.203333333333333,29
263,3,3pl3:none:DEC:Bayes,582,59,59,3,2Y,4,3,2Y,1,4,0.216666666666667,41
263,3,3pl3:none:DEC:Bayes,583,56,56,3,2Y,4,0,2EN,0,4,0.025,3
263,3,3pl3:none:DEC:Bayes,584,56,56,3,2Y,4,3,2Y,1,4,0.311904761904762,41
263,3,3pl3:none:DEC:Bayes,585,47,47,1,2Y,4,0,2EN,0,4,0.121428571428571,41
263,3,3pl3:none:DEC:Bayes,586,50,50,2,2Y,4,0,2EN,0,4,0.169047619047619,41
263,3,3pl3:none:DEC:Bayes,587,59,59,2,2Y,4,2,2Y,0,4,0.2625,7
263,3,3pl3:none:DEC:Bayes,588,53,53,3,2Y,4,0,2EN,0,4,0.147619047619048,20
263,3,3pl3:none:DEC:Bayes,589,50,50,2,2Y,4,0,2EN,0,4,0.145238095238095,41
263,3,3pl3:none:DEC:Bayes,590,50,50,2,2Y,4,0,2EN,0,4,0.121428571428571,41
263,3,3pl3:none:DEC:Bayes,591,56,56,2,2Y,4,0,2EN,0,4,0.169047619047619,41
263,3,3pl3:none:DEC:Bayes,592,56,56,2,2Y,4,0,2EN,0,4,0.151851851851852,26
263,3,3pl3:none:DEC:Bayes,593,50,50,3,2Y,4,3,2Y,1,4,0.216666666666667,41
263,3,3pl3:none:DEC:Bayes,594,50,50,2,2Y,4,0,2EN,0,4,0.05,41
263,3,3pl3:none:DEC:BIsoReg,573,50,50,2,2Y,4,2,2Y,0,4,0.213558474403903,41
263,3,3pl3:none:DEC:BIsoReg,574,50,50,2,2Y,4,2,2Y,0,4,0.257581545695815,41
263,3,3pl3:none:DEC:BIsoReg,575,53,53,3,2Y,4,3,2Y,1,4,0.247363009634313,41
263,3,3pl3:none:DEC:BIsoReg,576,53,53,3,2Y,4,3,2Y,1,4,0.224572308801473,41
263,3,3pl3:none:DEC:BIsoReg,577,53,53,3,2Y,4,0,2EN,0,4,0.185642588064285,41
263,3,3pl3:none:DEC:BIsoReg,578,50,50,3,2Y,4,3,2Y,1,4,0.273997564572067,41
