array_id,scenario,design,sim_id,n_total_enrolled,n_possible_enrolled,estMTD,estMTDCode,trueMTD,RP2D,RP2DCode,RP2DAcceptable,bestP2D,estEff_at_estMTD,num_at_estMTD
300,10,3pl3:Bayes:DEC:Bayes,639,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:Bayes:DEC:Bayes,640,12,12,1,1Y,2,0,1EN,0,2,0.0142857142857143,6
300,10,3pl3:Bayes:DEC:Bayes,641,12,12,1,1Y,2,1,1Y,1,2,0.157142857142857,6
300,10,3pl3:Bayes:DEC:Bayes,642,15,15,2,1Y,2,2,1Y,1,2,0.157142857142857,6
300,10,3pl3:Bayes:DEC:Bayes,643,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:Bayes:DEC:Bayes,644,12,12,2,1Y,2,2,1Y,1,2,0.3,6
300,10,3pl3:Bayes:DEC:Bayes,645,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:Bayes:DEC:Bayes,646,18,18,1,1Y,2,1,1Y,1,2,0.442857142857143,6
300,10,3pl3:Bayes:DEC:Bayes,647,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:Bayes:DEC:Bayes,648,15,15,2,1Y,2,2,1Y,1,2,0.3,6
300,10,3pl3:Bayes:DEC:Bayes,649,9,9,1,1Y,2,1,1Y,1,2,0.442857142857143,6
300,10,3pl3:Bayes:DEC:Bayes,650,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:Bayes:DEC:Bayes,651,15,15,3,1Y,2,3,1Y,0,2,0.3,6
300,10,3pl3:Bayes:DEC:Bayes,652,3,3,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:Bayes:DEC:Bayes,653,9,9,1,1Y,2,1,1Y,1,2,0.3,6
300,10,3pl3:Bayes:DEC:Bayes,654,9,9,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:Bayes:DEC:Bayes,655,12,12,1,1Y,2,1,1Y,1,2,0.157142857142857,6
300,10,3pl3:Bayes:DEC:Bayes,656,24,24,2,1Y,2,2,1Y,1,2,0.157142857142857,6
300,10,3pl3:Bayes:DEC:Bayes,657,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:Bayes:DEC:Bayes,658,21,21,3,1Y,2,3,1Y,0,2,0.442857142857143,6
300,10,3pl3:Bayes:DEC:Bayes,659,18,18,2,1Y,2,2,1Y,1,2,0.442857142857143,6
300,10,3pl3:Bayes:DEC:Bayes,660,3,3,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:Bayes,639,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:Bayes,640,12,12,1,1Y,2,1,1Y,1,2,NA,6
300,10,3pl3:none:DEC:Bayes,641,12,12,1,1Y,2,1,1Y,1,2,NA,6
300,10,3pl3:none:DEC:Bayes,642,15,15,2,1Y,2,2,1Y,1,2,NA,6
300,10,3pl3:none:DEC:Bayes,643,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:Bayes,644,12,12,2,1Y,2,2,1Y,1,2,NA,6
300,10,3pl3:none:DEC:Bayes,645,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:Bayes,646,18,18,1,1Y,2,1,1Y,1,2,NA,6
300,10,3pl3:none:DEC:Bayes,647,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:Bayes,648,15,15,2,1Y,2,2,1Y,1,2,NA,6
300,10,3pl3:none:DEC:Bayes,649,9,9,1,1Y,2,1,1Y,1,2,NA,6
300,10,3pl3:none:DEC:Bayes,650,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:Bayes,651,15,15,3,1Y,2,3,1Y,0,2,NA,6
300,10,3pl3:none:DEC:Bayes,652,3,3,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:Bayes,653,9,9,1,1Y,2,1,1Y,1,2,NA,6
300,10,3pl3:none:DEC:Bayes,654,9,9,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:Bayes,655,12,12,1,1Y,2,1,1Y,1,2,NA,6
300,10,3pl3:none:DEC:Bayes,656,24,24,2,1Y,2,2,1Y,1,2,NA,6
300,10,3pl3:none:DEC:Bayes,657,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:Bayes,658,21,21,3,1Y,2,3,1Y,0,2,NA,6
300,10,3pl3:none:DEC:Bayes,659,18,18,2,1Y,2,2,1Y,1,2,NA,6
300,10,3pl3:none:DEC:Bayes,660,3,3,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:BIsoReg,639,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:BIsoReg,640,12,12,1,1Y,2,1,1Y,1,2,NA,6
300,10,3pl3:none:DEC:BIsoReg,641,12,12,1,1Y,2,1,1Y,1,2,NA,6
300,10,3pl3:none:DEC:BIsoReg,642,15,15,2,1Y,2,2,1Y,1,2,NA,6
300,10,3pl3:none:DEC:BIsoReg,643,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:BIsoReg,644,12,12,2,1Y,2,2,1Y,1,2,NA,6
300,10,3pl3:none:DEC:BIsoReg,645,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:BIsoReg,646,18,18,1,1Y,2,1,1Y,1,2,NA,6
300,10,3pl3:none:DEC:BIsoReg,647,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:BIsoReg,648,15,15,2,1Y,2,2,1Y,1,2,NA,6
300,10,3pl3:none:DEC:BIsoReg,649,9,9,1,1Y,2,1,1Y,1,2,NA,6
300,10,3pl3:none:DEC:BIsoReg,650,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:BIsoReg,651,15,15,3,1Y,2,3,1Y,0,2,NA,6
300,10,3pl3:none:DEC:BIsoReg,652,3,3,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:BIsoReg,653,9,9,1,1Y,2,1,1Y,1,2,NA,6
300,10,3pl3:none:DEC:BIsoReg,654,9,9,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:BIsoReg,655,12,12,1,1Y,2,1,1Y,1,2,NA,6
300,10,3pl3:none:DEC:BIsoReg,656,24,24,2,1Y,2,2,1Y,1,2,NA,6
300,10,3pl3:none:DEC:BIsoReg,657,6,6,0,1N,2,0,1TN,0,2,NA,0
300,10,3pl3:none:DEC:BIsoReg,658,21,21,3,1Y,2,3,1Y,0,2,NA,6
300,10,3pl3:none:DEC:BIsoReg,659,18,18,2,1Y,2,2,1Y,1,2,NA,6
300,10,3pl3:none:DEC:BIsoReg,660,3,3,0,1N,2,0,1TN,0,2,NA,0
300,10,CRM:Bayes:CRM:Bayes,639,25,25,3,1Y,2,3,1Y,0,2,0.305,19
300,10,CRM:Bayes:CRM:Bayes,640,25,25,4,1Y,2,4,1Y,0,2,0.56875,15
300,10,CRM:Bayes:CRM:Bayes,641,25,25,2,1Y,2,2,1Y,1,2,0.25625,15
300,10,CRM:Bayes:CRM:Bayes,642,25,25,2,1Y,2,2,1Y,1,2,0.554545454545455,10
300,10,CRM:Bayes:CRM:Bayes,643,25,25,2,1Y,2,2,1Y,1,2,0.281818181818182,10
300,10,CRM:Bayes:CRM:Bayes,644,25,25,1,1Y,2,1,1Y,1,2,0.525,3
300,10,CRM:Bayes:CRM:Bayes,645,25,25,1,1Y,2,0,1EN,0,2,0.1375,7
300,10,CRM:Bayes:CRM:Bayes,646,25,25,3,1Y,2,3,1Y,0,2,0.283333333333333,17
300,10,CRM:Bayes:CRM:Bayes,647,25,25,2,1Y,2,0,1EN,0,2,0.1,10
300,10,CRM:Bayes:CRM:Bayes,648,25,25,1,1Y,2,1,1Y,1,2,0.41,9
300,10,CRM:Bayes:CRM:Bayes,649,25,25,2,1Y,2,0,1EN,0,2,0.14,14
300,10,CRM:Bayes:CRM:Bayes,650,25,25,2,1Y,2,2,1Y,1,2,0.275,3
300,10,CRM:Bayes:CRM:Bayes,651,25,25,2,1Y,2,2,1Y,1,2,0.281818181818182,10
300,10,CRM:Bayes:CRM:Bayes,652,25,25,2,1Y,2,2,1Y,1,2,0.44375,15
300,10,CRM:Bayes:CRM:Bayes,653,25,25,3,1Y,2,3,1Y,0,2,0.2625,7
300,10,CRM:Bayes:CRM:Bayes,654,25,25,2,1Y,2,2,1Y,1,2,0.2625,7
300,10,CRM:Bayes:CRM:Bayes,655,25,25,2,1Y,2,2,1Y,1,2,0.258333333333333,11
300,10,CRM:Bayes:CRM:Bayes,656,8,25,0,1N,2,0,1TN,0,2,NA,0
300,10,CRM:Bayes:CRM:Bayes,657,25,25,1,1Y,2,1,1Y,1,2,0.344444444444444,8
300,10,CRM:Bayes:CRM:Bayes,658,6,25,0,1N,2,0,1TN,0,2,NA,0
300,10,CRM:Bayes:CRM:Bayes,659,25,25,4,1Y,2,0,1EN,0,2,0.0578947368421053,18
300,10,CRM:Bayes:CRM:Bayes,660,25,25,1,1Y,2,1,1Y,1,2,0.231818181818182,21
300,10,CRM:none:CRM:Bayes,639,25,25,3,1Y,2,3,1Y,0,2,NA,19
300,10,CRM:none:CRM:Bayes,640,25,25,4,1Y,2,4,1Y,0,2,NA,15
300,10,CRM:none:CRM:Bayes,641,25,25,2,1Y,2,2,1Y,1,2,NA,15
300,10,CRM:none:CRM:Bayes,642,25,25,2,1Y,2,2,1Y,1,2,NA,10
300,10,CRM:none:CRM:Bayes,643,25,25,2,1Y,2,2,1Y,1,2,NA,10
300,10,CRM:none:CRM:Bayes,644,25,25,1,1Y,2,1,1Y,1,2,NA,3
300,10,CRM:none:CRM:Bayes,645,25,25,1,1Y,2,1,1Y,1,2,NA,7
300,10,CRM:none:CRM:Bayes,646,25,25,3,1Y,2,3,1Y,0,2,NA,17
300,10,CRM:none:CRM:Bayes,647,25,25,2,1Y,2,2,1Y,1,2,NA,10
300,10,CRM:none:CRM:Bayes,648,25,25,1,1Y,2,1,1Y,1,2,NA,9
